Codigo;Artículo;Familia;Acabado;Ton;Almacén; Ancho ; Largo ; Stock ; Metraje ;Unid medida;Nº Lote; Coste ud. ; Reposición ; Valor ;Tipo Artic;NOMBRE DE ALMACEN;DescrLineaNegocio;DEPARTAMENTO;MES;AÑO
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;B;*;2;0;6.100;15;91,5;ML;*;0,65;237,9;59,48;AX;TIENDA CATIA;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;B;*;3;0;6.100;16;97,6;ML;*;0,65;79,3;63,44;AX;TIENDA LA GUAIRA;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;B;*;5;0;6.100;53;323,3;ML;*;0,65;140,3;210,15;AX;TIENDA GUATIRE;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;B;*;6;0;6.100;17;103,7;ML;*;0,65;140,3;67,41;AX;TIENDA MARICHE;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;BR;*;3;0;6.100;4;24,4;ML;*;0,67;54,9;16,35;BY;TIENDA LA GUAIRA;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;BR;*;6;0;6.100;5;30,5;ML;*;0,67;48,8;20,44;BY;TIENDA MARICHE;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;BRILLO;*;2;0;6.100;21;128,1;ML;*;0,65;237,9;83,27;AX;TIENDA CATIA;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;BRILLO;*;3;0;6.100;46;280,6;ML;*;0,65;61;182,39;AX;TIENDA LA GUAIRA;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;BRILLO;*;5;0;6.100;22;134,2;ML;*;0,65;103,7;87,23;AX;TIENDA GUATIRE;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;BRILLO;*;6;0;6.100;25;152,5;ML;*;0,65;103,7;99,13;AX;TIENDA MARICHE;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;BRILLO;*;15;0;6.100;110;671;ML;*;0,65;;436,15;AX;ALMACEN ALUMBRA;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;CR;*;4;0;6.100;0;0;ML;*;0,53;0;0;AY;CENDIS;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;CR;*;17;0;6.100;483;2.946,30;ML;*;0,53;;1.561,54;AY;EXTRUSORA ALDOCA;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;CR;*;21;0;6.100;159;969,9;ML;*;0,53;;514,05;AY;EXTRUSORA ALREYVEN;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;MATE;*;2;0;6.100;1;6,1;ML;*;0,63;207,4;3,84;AX;TIENDA CATIA;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;MATE;*;3;0;6.100;36;219,6;ML;*;0,63;103,7;138,35;AX;TIENDA LA GUAIRA;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;MATE;*;5;0;6.100;49;298,9;ML;*;0,63;158,6;188,31;AX;TIENDA GUATIRE;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;MATE;*;15;0;6.100;160;976;ML;*;0,63;;614,88;AX;ALMACEN ALUMBRA;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;N;*;2;0;6.100;41;250,1;ML;*;0,65;140,3;162,57;AX;TIENDA CATIA;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
10020010000;"ANGULO 1/2"" X 1/2"" X 1/16"" (A1064)";1;N;*;3;0;6.100;16;97,6;ML;*;0,65;79,3;63,44;AX;TIENDA LA GUAIRA;ANGULOS Y PLETINAS;PERFILES ESTANDAR;MAYO;2026
