DEPARTAMENTO;CATEGORIA;CATIA;LA GUAIRA;MARICHE;GUATIRE;ALUMINIOLOGO WEB;DISTRIBUIDORES
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA PANORAMICA;10,05%;7,86%;6,83%;6,83%;1,44%;0,91%
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CARONI;4,37%;3,42%;4,40%;4,40%;0,46%;0,00%
VENTANAS Y PUERTAS CORREDIZAS;VENTANA BELGLASS;0,55%;0,50%;0,58%;0,58%;0,00%;0,00%
VENTANAS Y PUERTAS CORREDIZAS;VENTANA VISTAGLASS;0,79%;0,24%;0,60%;0,60%;0,00%;0,00%
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CORREDERA SERIE 1000;1,22%;2,07%;1,96%;1,96%;0,18%;0,00%
VENTANAS Y PUERTAS CORREDIZAS;PUERTA DE VITRINA;0,54%;0,25%;0,38%;0,38%;0,06%;0,00%
VENTANAS Y PUERTAS CORREDIZAS;VENTANA ECOBEL;0,26%;0,05%;0,27%;0,27%;0,00%;0,00%
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA AMPLITUD;0,05%;0,05%;0,06%;0,06%;0,00%;0,00%
VENTANAS ABATIBLES;VENTANA PROYECTANTE COMERCIAL;0,24%;0,40%;0,61%;0,61%;0,26%;0,00%
VENTANAS ABATIBLES;VENTANA PROYECTANTE LONDON;0,33%;0,12%;0,26%;0,26%;0,00%;0,00%
VENTANAS ABATIBLES;VENTANA PIVOTANTE;0,20%;0,03%;0,11%;0,11%;0,00%;0,00%
VENTANAS ABATIBLES;PIVOTANTE;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
DIVISIONES DE AMBIENTE;PAÑO FIJO;3,09%;4,76%;2,70%;2,70%;9,56%;0,00%
DIVISIONES DE AMBIENTE;ROMANILLA;0,34%;0,41%;0,11%;0,11%;0,00%;0,00%
DIVISIONES DE AMBIENTE;ROMANILLAS;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
DIVISIONES DE AMBIENTE;CURTAIN WALL JUNTA POSITIVA Y JUNTA NEGATIVA;0,19%;0,00%;0,00%;0,00%;1,16%;0,70%
PERFILES ESTANDAR;ANGULOS Y PLETINAS;7,36%;6,35%;5,53%;5,53%;1,00%;0,82%
PERFILES ESTANDAR;TUBOS RECTANGULARES UES TES Y REMATES;8,45%;6,11%;6,42%;6,42%;1,65%;1,25%
