Etiquetas de fila;CATIA;LA GUAIRA;MARICHE;ECOMMERCE;DISTRIBUIDORES;GUATIRE;TOTAL
ENERO;153.935,00;107.230,00;107.230,00;25.675,00;25.675,00; -   ;419.745,00
FEBRERO;143.850,00;100.960,00;100.960,00;21.615,00;21.615,00; -   ;389.000,00
MARZO;170.391,73;119.920,80;119.920,80;28.564,71;28.564,71;38.730,34;506.093,09
ABRIL;148.454,05;106.701,32;106.701,32;32.474,34;32.474,34;37.113,50;463.918,87
MAYO;183.487,99;131.882,14;131.882,14;40.137,99;40.137,99;45.872,08;573.400,33
JUNIO;196.088,20;140.947,90;140.947,90;42.894,42;42.894,42;47.225,84;610.998,68
JULIO;199.966,28;143.725,93;143.725,93;43.742,61;43.742,61;49.991,66;624.895,02
AGOSTO;189.723,02;136.363,58;136.363,58;41.501,90;41.501,90;47.430,84;592.884,82
SEPTIEMBRE;198.630,20;142.765,62;142.765,62;43.450,35;43.450,35;49.657,64;620.719,78
OCTUBRE;192.572,60;138.372,20;138.372,20;42.077,03;42.077,03;48.123,17;649.099,23
NOVIEMBRE;184.378,71;132.522,36;132.522,36;40.332,83;40.332,83;46.094,76;629.118,85
DICIEMBRE;204.400,62;146.926,91;146.926,91;44.716,85;44.716,85;51.105,16;688.353,30
Total general;2.165.878,40;1.548.318,76;1.548.318,76;447.183,03;447.183,03;461.344,99;6.768.226,97
